"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Glacier","Glacier","WA","Washington","53073","Whatcom","48.8902","-121.9323","","","18.9","polygon","False","America/Los_Angeles","98244","1840017292"
"Farmington","Farmington","WA","Washington","53075","Whitman","47.0887","-117.0464","154","154","164","polygon","True","America/Los_Angeles","99128","1840021140"
"Eastsound","Eastsound","WA","Washington","53055","San Juan","48.6968","-122.9055","","","386.6","point","False","America/Los_Angeles","98245","1840037735"
"Central Park","Central Park","WA","Washington","53027","Grays Harbor","46.9705","-123.7018","","","420.5","polygon","False","America/Los_Angeles","98520","1840017358"
"Bremerton","Bremerton","WA","Washington","53035","Kitsap","47.5436","-122.7122","216480.0","41041","557","polygon","True","America/Los_Angeles","98312 98314 98310 98367 98337","1840018410"
"Friday Harbor","Friday Harbor","WA","Washington","53055","San Juan","48.5324","-123.0656","2407","2407","430","polygon","True","America/Los_Angeles","98250","1840021065"
"Carnation","Carnation","WA","Washington","53033","King","47.6446","-121.9048","2164","2164","725","polygon","True","America/Los_Angeles","98014","1840018421"
"Lake Shore","Lake Shore","WA","Washington","53011","Clark","45.6911","-122.6911","","","2221.8","polygon","False","America/Los_Angeles","98665 98685","1840037873"
"Houghton","Houghton","WA","Washington","53033","King","47.6609","-122.2060","","","2649.0","point","False","America/Los_Angeles","98033","1840037664"
"Lester","Lester","WA","Washington","53033","King","47.2093","-121.4940","","","0.0","point","False","America/Los_Angeles","98045","1840033765"
"Lake Stevens","Lake Stevens","WA","Washington","53061","Snohomish","48.0029","-122.0960","32785","32785","1424","polygon","True","America/Los_Angeles","98258 98205","1840019794"
"Mineral","Mineral","WA","Washington","53041","Lewis","46.7193","-122.1859","","","160.0","polygon","False","America/Los_Angeles","98355","1840025263"
"Lake Stickney","Lake Stickney","WA","Washington","53061","Snohomish","47.8709","-122.2596","","","1569.6","polygon","False","America/Los_Angeles","98087 98204","1840037894"
"Acme","Acme","WA","Washington","53073","Whatcom","48.7146","-122.2293","","","82.2","polygon","False","America/Los_Angeles","98220","1840017288"
"Oyehut","Oyehut","WA","Washington","53027","Grays Harbor","47.0232","-124.1631","","","108.8","polygon","False","America/Los_Angeles","98550","1840037697"
"Mossyrock","Mossyrock","WA","Washington","53041","Lewis","46.5305","-122.4887","789","789","444","polygon","True","America/Los_Angeles","98564","1840019883"
"Bridgeport","Bridgeport","WA","Washington","53017","Douglas","48.0063","-119.6737","2555","2555","961","polygon","True","America/Los_Angeles","98813","1840018387"
"Fobes Hill","Fobes Hill","WA","Washington","53061","Snohomish","47.9391","-122.1341","","","235.5","polygon","False","America/Los_Angeles","98290","1840037736"
"Rosario","Rosario","WA","Washington","53055","San Juan","48.6487","-122.8760","","","189.8","point","False","America/Los_Angeles","98245","1840037708"
"Brewster","Brewster","WA","Washington","53047","Okanogan","48.1034","-119.7751","2343","2343","785","polygon","True","America/Los_Angeles","98812","1840018359"
"Fox Island","Fox Island","WA","Washington","53053","Pierce","47.2475","-122.6255","","","241.2","polygon","False","America/Los_Angeles","98333","1840037870"
"Canyon Park","Canyon Park","WA","Washington","53061","Snohomish","47.7909","-122.1926","","","1282.8","point","False","America/Los_Angeles","98021","1840037626"
"Rock Island","Rock Island","WA","Washington","53017","Douglas","47.3743","-120.1382","1015","1015","478","polygon","True","America/Los_Angeles","98850","1840019796"
"High Rock","High Rock","WA","Washington","53061","Snohomish","47.8129","-121.9826","","","59.2","point","False","America/Los_Angeles","98272","1840037774"
"Rockford","Rockford","WA","Washington","53063","Spokane","47.4513","-117.1307","477","477","271","polygon","True","America/Los_Angeles","99030","1840021095"
"Erlands Point","Erlands Point","WA","Washington","53035","Kitsap","47.5998","-122.6929","","","1097.5","point","False","America/Los_Angeles","98312","1840037651"
"Montesano","Montesano","WA","Washington","53027","Grays Harbor","47.0102","-123.5858","8494.0","3963","147","polygon","True","America/Los_Angeles","98563","1840019847"
